profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,requested_label,requested_region_id,prompt_state_label,blocked_label,reason
h3_h2w_semantic_target_preservation,h3_ops_deployment_gate_panel_log_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""gate log""}",extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""deployment gate panel""}",,,,deployment gate panel,,
h3_h2z_stale_selection_negation_guard,h3_support_disabled_escalation_toggle,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-disabled-toggle"",""target_query"":""disabled toggle""}",extract_layout,"{""image_id"":""img-h3-support-disabled-toggle"",""target_query"":""escalation toggle disabled""}",,,,escalation toggle disabled,,
h3_h2z_stale_selection_negation_guard,h3_support_unresolved_ticket_badge,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-unresolved-ticket-badge"",""target_query"":""unresolved badge""}",extract_layout,"{""image_id"":""img-h3-support-unresolved-ticket-badge"",""target_query"":""ticket badge unresolved""}",,,,ticket badge unresolved,,
h3_h2z_stale_selection_negation_guard,h3_support_unassigned_owner_field,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-unassigned-owner-field"",""target_query"":""owner field""}",extract_layout,"{""image_id"":""img-h3-support-unassigned-owner-field"",""target_query"":""owner field unassigned""}",,,,owner field unassigned,,
h3_h2z_stale_selection_negation_guard,h3_policy_paused_state_pill_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-paused-state-pill"",""target_query"":""paused state pill""}",extract_layout,"{""image_id"":""img-h3-policy-paused-state-pill"",""target_query"":""state pill paused""}",,,,state pill paused,,
h3_h2z_stale_selection_negation_guard,h3_policy_rejected_approval_chip_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-rejected-approval-chip"",""target_query"":""rejected""}",extract_layout,"{""image_id"":""img-h3-policy-rejected-approval-chip"",""target_query"":""approval chip rejected""}",,,,approval chip rejected,,
h3_h2z_stale_selection_negation_guard,h3_policy_missing_evidence_field_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-missing-evidence-field"",""target_query"":""missing""}",extract_layout,"{""image_id"":""img-h3-policy-missing-evidence-field"",""target_query"":""evidence field missing""}",,,,evidence field missing,,
h3_h2z_stale_selection_negation_guard,h3_policy_expired_policy_banner_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-expired-banner"",""target_query"":""expired banner""}",extract_layout,"{""image_id"":""img-h3-policy-expired-banner"",""target_query"":""policy banner expired""}",,,,policy banner expired,,
h3_h2z_stale_selection_negation_guard,h3_legal_contract_risk_badge_note_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-legal-contract-risk-badge"",""target_query"":""risk badge""}",extract_layout,"{""image_id"":""img-h3-legal-contract-risk-badge"",""target_query"":""contract risk badge""}",,,,contract risk badge,,
h3_h2z_stale_selection_negation_guard,h3_recruiting_candidate_stage_tile_table_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-recruiting-stage-tile"",""target_query"":""stage tile""}",extract_layout,"{""image_id"":""img-h3-recruiting-stage-tile"",""target_query"":""candidate stage tile""}",,,,candidate stage tile,,
h3_h2z_stale_selection_negation_guard,h3_clinical_triage_priority_chip_memo_decoy,h3_mixed_workflow_instructional_negation,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h3-clinical-priority-chip"",""target_query"":""triage priority chip""}",extract_layout,"{""image_id"":""img-h3-clinical-priority-chip"",""target_query"":""triage priority chip""}",triage priority chip,,,triage priority chip,priority memo,semantic_label_preserved_over_stale_context
h3_h2z_stale_selection_negation_guard,h3_ops_deployment_gate_panel_log_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""gate log""}",extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""deployment gate panel""}",,,,deployment gate panel,,
h3_h2z_negated_component_target_preservation,h3_support_disabled_escalation_toggle,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-disabled-toggle"",""target_query"":""disabled toggle""}",extract_layout,"{""image_id"":""img-h3-support-disabled-toggle"",""target_query"":""escalation toggle disabled""}",,,,escalation toggle disabled,,
h3_h2z_negated_component_target_preservation,h3_support_unresolved_ticket_badge,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-unresolved-ticket-badge"",""target_query"":""unresolved badge""}",extract_layout,"{""image_id"":""img-h3-support-unresolved-ticket-badge"",""target_query"":""ticket badge unresolved""}",,,,ticket badge unresolved,,
h3_h2z_negated_component_target_preservation,h3_support_unassigned_owner_field,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-unassigned-owner-field"",""target_query"":""owner field""}",extract_layout,"{""image_id"":""img-h3-support-unassigned-owner-field"",""target_query"":""owner field unassigned""}",,,,owner field unassigned,,
h3_h2z_negated_component_target_preservation,h3_policy_paused_state_pill_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-paused-state-pill"",""target_query"":""paused state pill""}",extract_layout,"{""image_id"":""img-h3-policy-paused-state-pill"",""target_query"":""state pill paused""}",,,,state pill paused,,
h3_h2z_negated_component_target_preservation,h3_policy_rejected_approval_chip_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-rejected-approval-chip"",""target_query"":""rejected""}",extract_layout,"{""image_id"":""img-h3-policy-rejected-approval-chip"",""target_query"":""approval chip rejected""}",,,,approval chip rejected,,
h3_h2z_negated_component_target_preservation,h3_policy_missing_evidence_field_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-missing-evidence-field"",""target_query"":""missing""}",extract_layout,"{""image_id"":""img-h3-policy-missing-evidence-field"",""target_query"":""evidence field missing""}",,,,evidence field missing,,
h3_h2z_negated_component_target_preservation,h3_policy_expired_policy_banner_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-expired-banner"",""target_query"":""expired banner""}",extract_layout,"{""image_id"":""img-h3-policy-expired-banner"",""target_query"":""policy banner expired""}",,,,policy banner expired,,
h3_h2z_negated_component_target_preservation,h3_legal_contract_risk_badge_note_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-legal-contract-risk-badge"",""target_query"":""risk badge""}",extract_layout,"{""image_id"":""img-h3-legal-contract-risk-badge"",""target_query"":""contract risk badge""}",,,,contract risk badge,,
h3_h2z_negated_component_target_preservation,h3_recruiting_candidate_stage_tile_table_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-recruiting-stage-tile"",""target_query"":""stage tile""}",extract_layout,"{""image_id"":""img-h3-recruiting-stage-tile"",""target_query"":""candidate stage tile""}",,,,candidate stage tile,,
h3_h2z_negated_component_target_preservation,h3_clinical_triage_priority_chip_memo_decoy,h3_mixed_workflow_instructional_negation,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h3-clinical-priority-chip"",""target_query"":""triage priority chip""}",extract_layout,"{""image_id"":""img-h3-clinical-priority-chip"",""target_query"":""triage priority chip""}",triage priority chip,,,triage priority chip,priority memo,semantic_label_preserved_over_stale_context
h3_h2z_negated_component_target_preservation,h3_ops_deployment_gate_panel_log_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""gate log""}",extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""deployment gate panel""}",,,,deployment gate panel,,
h3_h2z_boundary_combined,h3_support_disabled_escalation_toggle,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-disabled-toggle"",""target_query"":""disabled toggle""}",extract_layout,"{""image_id"":""img-h3-support-disabled-toggle"",""target_query"":""escalation toggle disabled""}",,,,escalation toggle disabled,,
h3_h2z_boundary_combined,h3_support_unresolved_ticket_badge,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-unresolved-ticket-badge"",""target_query"":""unresolved badge""}",extract_layout,"{""image_id"":""img-h3-support-unresolved-ticket-badge"",""target_query"":""ticket badge unresolved""}",,,,ticket badge unresolved,,
h3_h2z_boundary_combined,h3_support_unassigned_owner_field,h3_support_negated_component_syntax,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-support-unassigned-owner-field"",""target_query"":""owner field""}",extract_layout,"{""image_id"":""img-h3-support-unassigned-owner-field"",""target_query"":""owner field unassigned""}",,,,owner field unassigned,,
h3_h2z_boundary_combined,h3_policy_paused_state_pill_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-paused-state-pill"",""target_query"":""paused state pill""}",extract_layout,"{""image_id"":""img-h3-policy-paused-state-pill"",""target_query"":""state pill paused""}",,,,state pill paused,,
h3_h2z_boundary_combined,h3_policy_rejected_approval_chip_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-rejected-approval-chip"",""target_query"":""rejected""}",extract_layout,"{""image_id"":""img-h3-policy-rejected-approval-chip"",""target_query"":""approval chip rejected""}",,,,approval chip rejected,,
h3_h2z_boundary_combined,h3_policy_missing_evidence_field_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-missing-evidence-field"",""target_query"":""missing""}",extract_layout,"{""image_id"":""img-h3-policy-missing-evidence-field"",""target_query"":""evidence field missing""}",,,,evidence field missing,,
h3_h2z_boundary_combined,h3_policy_expired_policy_banner_value_first,h3_policy_label_order_inversion,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-policy-expired-banner"",""target_query"":""expired banner""}",extract_layout,"{""image_id"":""img-h3-policy-expired-banner"",""target_query"":""policy banner expired""}",,,,policy banner expired,,
h3_h2z_boundary_combined,h3_legal_contract_risk_badge_note_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-legal-contract-risk-badge"",""target_query"":""risk badge""}",extract_layout,"{""image_id"":""img-h3-legal-contract-risk-badge"",""target_query"":""contract risk badge""}",,,,contract risk badge,,
h3_h2z_boundary_combined,h3_recruiting_candidate_stage_tile_table_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-recruiting-stage-tile"",""target_query"":""stage tile""}",extract_layout,"{""image_id"":""img-h3-recruiting-stage-tile"",""target_query"":""candidate stage tile""}",,,,candidate stage tile,,
h3_h2z_boundary_combined,h3_clinical_triage_priority_chip_memo_decoy,h3_mixed_workflow_instructional_negation,visual_semantic_target_preservation,extract_layout,"{""image_id"":""img-h3-clinical-priority-chip"",""target_query"":""triage priority chip""}",extract_layout,"{""image_id"":""img-h3-clinical-priority-chip"",""target_query"":""triage priority chip""}",triage priority chip,,,triage priority chip,priority memo,semantic_label_preserved_over_stale_context
h3_h2z_boundary_combined,h3_ops_deployment_gate_panel_log_decoy,h3_mixed_workflow_instructional_negation,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""gate log""}",extract_layout,"{""image_id"":""img-h3-ops-deployment-gate-panel"",""target_query"":""deployment gate panel""}",,,,deployment gate panel,,
